name,usps,ap,amt
Alabama,AL,Ala.,11.1
Alaska,AK,Alaska,5.9
Arizona,AZ,Ariz.,-3.8
Arkansas,AR,Ark.,4.9
California,CA,Calif.,5.3
Colorado,CO,Colo.,4.1
Connecticut,CT,Conn.,3.6
Delaware,DE,Del.,2.6
District of Columbia,DC,D.C.,5.1
Florida,FL,Fla.,7.0
Georgia,GA,Ga.,7.5
Hawaii,HI,Hawaii,2.5
Idaho,ID,Idaho,0.0
Illinois,IL,Ill.,-1.2
Indiana,IN,Ind.,1.2
Iowa,IA,Iowa,2.3
Kansas,KS,Kan.,3.6
Kentucky,KY,Ky.,0.0
Louisiana,LA,La.,4.2
Maine,ME,Maine,2.4
Maryland,MD,Md.,2.4
Massachusetts,MA,Mass.,2.4
Michigan,MI,Mich.,4.1
Minnesota,MN,Minn.,3.9
Mississippi,MS,Miss.,1.3
Missouri,MO,Mo.,6.2
Montana,MT,Mont.,2.4
Nebraska,NE,Neb.,2.3
Nevada,NV,Nev.,14.5
New Hampshire,NH,N.H.,1.2
New Jersey,NJ,N.J.,6.0
New Mexico,NM,N.M.,11.1
New York,NY,N.Y.,0.0
North Carolina,NC,N.C.,6.4
North Dakota,ND,N.D.,2.3
Ohio,OH,Ohio,2.5
Oklahoma,OK,Okla.,0.0
Oregon,OR,Ore.,1.5
Pennsylvania,PA,Pa.,3.6
Rhode Island,RI,R.I.,3.9
South Carolina,SC,S.C.,5.4
South Dakota,SD,S.D.,0.0
Tennessee,TN,Tenn.,0.0
Texas,TX,Texas,2.3
Utah,UT,Utah,9.2
Vermont,VT,Vt.,0.0
Virginia,VA,Va.,2.4
Washington,WA,Wash.,0.0
West Virginia,WV,W.Va.,3.8
Wisconsin,WI,Wis.,1.1
Wyoming,WY,Wyo.,-3.8